PERMNO,date,NCUSIP,TICKER,PERMCO,NWPERM,PRC,VOL,RET,SHROUT
90319,2021-03-18,02079K30,GOOGL,45483,,2021.33997,1580094,-0.029238,300737
90319,2021-03-19,02079K30,GOOGL,45483,,2026.95996,2297308,0.002780,300737
90319,2021-03-22,02079K30,GOOGL,45483,,2030.68994,1662141,0.001840,300737
90319,2021-03-23,02079K30,GOOGL,45483,,2041.32996,1419753,0.005240,300737
90319,2021-03-24,02079K30,GOOGL,45483,,2032.53003,1253054,-0.004311,300737
90319,2021-03-25,02079K30,GOOGL,45483,,2032.45996,1777586,-0.000034,300737
90319,2021-03-26,02079K30,GOOGL,45483,,2024.72998,1392837,-0.003803,300737
90319,2021-03-29,02079K30,GOOGL,45483,,2045.79004,1318151,0.010401,300737
90319,2021-03-30,02079K30,GOOGL,45483,,2046.46997,1363004,0.000332,300737
90319,2021-03-31,02079K30,GOOGL,45483,,2062.52002,2121957,0.007843,300747
90319,2021-04-01,02079K30,GOOGL,45483,,2129.78003,1987074,0.032611,300747
90319,2021-04-05,02079K30,GOOGL,45483,,2218.95996,2415678,0.041873,300747
90319,2021-04-06,02079K30,GOOGL,45483,,2209.26001,1754822,-0.004371,300747
90319,2021-04-07,02079K30,GOOGL,45483,,2239.03003,1201128,0.013475,300747
90319,2021-04-08,02079K30,GOOGL,45483,,2250.42993,1426451,0.005091,300747
90319,2021-04-09,02079K30,GOOGL,45483,,2270.66992,1301411,0.008994,300747
90319,2021-04-12,02079K30,GOOGL,45483,,2244.62012,1247255,-0.011472,300747
90319,2021-04-13,02079K30,GOOGL,45483,,2254.42993,1280232,0.004370,300747
90319,2021-04-14,02079K30,GOOGL,45483,,2241.90991,1046942,-0.005554,300747
90319,2021-04-15,02079K30,GOOGL,45483,,2285.25000,1451594,0.019332,300747
90319,2021-04-16,02079K30,GOOGL,45483,,2282.75000,1297746,-0.001094,300747
90319,2021-04-19,02079K30,GOOGL,45483,,2289.76001,1508472,0.003071,300747
90319,2021-04-20,02079K30,GOOGL,45483,,2279.01001,1109750,-0.004695,300747
90319,2021-04-21,02079K30,GOOGL,45483,,2278.35010,1156540,-0.000290,300747
90319,2021-04-22,02079K30,GOOGL,45483,,2252.52002,1203768,-0.011337,300747
90319,2021-04-23,02079K30,GOOGL,45483,,2299.92993,1448520,0.021047,300747
90319,2021-04-26,02079K30,GOOGL,45483,,2309.92993,1593355,0.004348,300747
90319,2021-04-27,02079K30,GOOGL,45483,,2290.97998,2207988,-0.008204,300747
90319,2021-04-28,02079K30,GOOGL,45483,,2359.04004,4044230,0.029708,300747
90319,2021-04-29,02079K30,GOOGL,45483,,2392.76001,2050980,0.014294,300747
90319,2021-04-30,02079K30,GOOGL,45483,,2353.50000,2234245,-0.016408,300747
90319,2021-05-03,02079K30,GOOGL,45483,,2343.08008,1405595,-0.004427,300747
90319,2021-05-04,02079K30,GOOGL,45483,,2306.83008,2228918,-0.015471,300747
90319,2021-05-05,02079K30,GOOGL,45483,,2314.77002,1326312,0.003442,300747
90319,2021-05-06,02079K30,GOOGL,45483,,2337.35010,1254569,0.009755,300747
90319,2021-05-07,02079K30,GOOGL,45483,,2351.92993,1441350,0.006238,300747
90319,2021-05-10,02079K30,GOOGL,45483,,2291.75000,1540239,-0.025587,300747
